date,text
2025-12-01,"Apple AI chief to retire, replaced by ex-Microsoft executive(DigiTimes)"
2025-12-01,"Android phone sales falter in China's Singles' Day promotion, pressuring SoC shipments(DigiTimes)"
2025-12-01,Apple AI chief leaving as iPhone maker plays catch-up(AFP)
2025-12-01,Apple's potential Intel partnership hinges on 18A-P process maturity by 2027(DigiTimes)
2025-12-01,Samsungs Next Salvo Against Apple: A Triple-Folding Smartphone(The Wall Street Journal)
2025-12-01,Apple to Revamp AI Team After Announcing Top Executives Departure(The Wall Street Journal)
2025-12-01,Here Are Billionaire Warren Buffett's 5 Biggest Stock Holdings(Motley Fool)
2025-12-01,Siri-us setback: Apples AI chief steps down as company lags behind rivals(The Guardian)
2025-12-01,"The Dealmaking 3  Paramount Lands UEFA Media Rights, Sony & ATP Medias Strategic Partnership, Apple Adds MLS(CorpGov.com)"
2025-12-01,A Retirement Marks Another Chapter in Apple's AI Reshuffle(Barrons.com)
2025-12-01,Apple AI chief Giannandrea to step down as company reshuffles leadership(Investing.com)
2025-12-01,"Apple names Amar Subramanya new VP of AI, replacing John Giannandrea(Reuters)"
2025-12-01,Apple's AI chief abruptly steps down(NBC News)
2025-12-01,Apple is making a big shakeup as it looks for an edge in AI(MarketWatch)
2025-12-01,John Giannandrea to retire from Apple(Business Wire)
2025-12-01,"These Stocks Moved the Most Today: Synopsys, Nvidia, Strategy, Airbus, Tesla, NIO, Coupang, Barrick Mining, and More(Barrons.com)"
2025-12-01,"Stocks to Watch Monday: Strategy, Coinbase, Airbus, Apple(The Wall Street Journal)"
2025-12-01,"Stock market today: Dow, S&P 500, Nasdaq slide as bitcoin tumbles to kick off December(Yahoo Finance)"
2025-12-01,Wall Street Continues to Underestimate the Growth of Magnificent Seven Companies. Here's Why.(Investopedia)
2025-12-01,Intel Could Break Through Apple Barrier -- Analysts Say This Could Redefine Foundry Competition(GuruFocus.com)
2025-12-01,"Stock market today: Dow, S&P 500, Nasdaq slip, bitcoin plummets in rocky start to December(Yahoo Finance)"
2025-12-01,"Stock market today: Dow, S&P 500, Nasdaq slide, bitcoin plummets in rocky start to December(Yahoo Finance)"
2025-12-01,"Final Trades: Nike, Amazon, Delta Air Lines and Apple(CNBC TV)"
2025-12-01,Apple Stock Looks Cheap Here Based on Strong FCF - Shorting OTM Put Options Has Worked(Barchart)
2025-12-01,"These Stocks Are Moving the Most Today: Synopsys, Nvidia, Strategy, Airbus, Tesla, NIO, Coupang, Barrick Mining, and More(Barrons.com)"
2025-12-01,Is Apple Giving Intels Foundry Ambitions a Much-Needed Boost?(24/7 Wall St.)
2025-12-01,3 Tech ETFs to Buy as AI Vanguard Palantir Plunges 19% in a Month(Zacks)
2025-12-01,Former Gap CEO reveals the only thing that could save Target(Yahoo Finance)
2025-12-01,Trillion-Dollar Companies Now Go To 11; Google Is No. 3(Investor's Business Daily)
2025-12-01,"Heres whats worth streaming in December 2025 on Netflix, Hulu, HBO Max and more(MarketWatch)"
2025-12-01,T-Mobile Launches Most Aggressive Black Friday Wireless Promotion(Investor's Business Daily)
2025-12-01,Apple Moves to Block India Antitrust Case With Challenge to Penalty Law(GuruFocus.com)
2025-12-01,"Top Analysts Break Up 'Magnificent 7': Only Nvidia, Microsoft, and Apple Lead the Market(GuruFocus.com)"
2025-12-01,Warren Buffett Is Rapidly Selling Apple Stock. Here Are 2 Reasons Why.(Motley Fool)
2025-12-01,Prediction: These 5 Stocks Will Be Worth More Than $8 Trillion by 2030(Motley Fool)
2025-12-01,ByteDance rolls out AI voice assistant for Chinese smartphones(Reuters)
2025-11-30,"Nvidia and Apple compete for TSMC capacity, targeting A16 and A14 nodes(DigiTimes)"
2025-11-30,Stocks drift back towards record highs as the final month of 2025 gets underway: What to watch this week(Yahoo Finance)
2025-11-30,"Here's what's worth streaming in December 2025 on Netflix, Hulu, HBO Max and more(MarketWatch)"
2025-11-30,Prediction: These 4 Stocks Will Be Worth $5 Trillion by 2028(Motley Fool)
2025-11-30,Here Are Billionaire Warren Buffett's 5 Biggest Stock Holdings(Motley Fool)
2025-11-29,Is This the Undiscussed Reason Buffett Just Bought Alphabet (Google) Stock?(Motley Fool)
2025-11-29,24% of Warren Buffett's Portfolio is Invested in These 3 Artificial Intelligence (AI) Stocks(Motley Fool)
2025-11-29,Apples best year yet sparks new challenge with top rival(TheStreet)
2025-11-29,Marjorie Taylor Greenes stocks jumped 476% since joining Congress: Here are her 5 biggest investing wins to learn from(Moneywise)
2025-11-29,Is This the Last Christmas for These 3 Stocks?(24/7 Wall St.)
2025-11-29,"Here Are My Top 2 ""Magnificent Seven"" Stocks to Buy for 2026(Motley Fool)"
2025-11-29,"ChatGPT was unveiled 3 years ago, kicking off the AI revolution. For investors, it did even more.(Yahoo Finance)"
2025-11-29,25% of Warren Buffett's Portfolio Is Invested in These 3 Unstoppable AI Stocks(Motley Fool)
2025-11-29,"Jim Cramer Says ""The Biggest Winner After Google May Be Apple""(Insider Monkey)"
2025-11-28,Intel's Stock Pops as Rumors Swirl About a Big New Customer(Investopedia)
2025-11-28,Intel (INTC) Stock Jumps Amid Allegations of Stolen Tech from TSMC(GuruFocus.com)
2025-11-28,Apple's $230 iPhone sock went viral. Now clones are flooding the internet(Quartz)
